Pron Dem.Neu.Pl.Acc	PDNPA
Pron Dem.Neu.Pl.Dat	PDNPD
Pron Dem.Neu.Pl.Gen	PDNPG
Pron Dem.Neu.Pl.Nom	PDNPN
Pron Dem.Neu.Sg.Acc	PDNSA
Pron Dem.Neu.Sg.Dat	PDNSD
Pron Dem.Neu.Sg.Gen	PDNSG
Pron Dem.Neu.Sg.Nom	PDNSN
Pron Indef.Fem.Acc	PIFSA
Pron Indef.Fem.Dat	PIFSD
Pron Indef.Fem.Nom	PIFSN
Pron Indef.Fem.Pl.Acc	PIFPA
Pron Indef.Fem.Pl.Dat	PIFPD
Pron Indef.Fem.Pl.Gen	PIFPG
Pron Indef.Fem.Pl.Nom	PIFPN
Pron Indef.Fem.Sg.Acc	PIFSA
Pron Indef.Fem.Sg.Dat	PIFSD
Pron Indef.Fem.Sg.Gen	PIFSG
Pron Indef.Fem.Sg.Nom	PIFSN
Pron Indef.Msc.Acc	PIMSA
Pron Indef.Msc.Dat	PIMSD
Pron Indef.Msc.Gen	PIMSG
Pron Indef.Msc.Nom	PIMSN
Pron Indef.Msc.Pl.Acc	PIMPA
Pron Indef.Msc.Pl.Dat	PIMPD
Pron Indef.Msc.Pl.Gen	PIMPG
Pron Indef.Msc.Pl.Nom	PIMPN
Pron Indef.Msc.Sg.Acc	PIMSA
Pron Indef.Msc.Sg.Dat	PIMSD
Pron Indef.Msc.Sg.Gen	PIMSG
Pron Indef.Msc.Sg.Nom	PIMSN
Pron Indef.Neu.Acc	PINSA
Pron Indef.Neu.Dat	PINSD
Pron Indef.Neu.Gen	PINSG
Pron Indef.Neu.Nom	PINSN
Pron Indef.Neu.Pl.Acc	PINPA
Pron Indef.Neu.Pl.Dat	PINPD
Pron Indef.Neu.Pl.Gen	PINPG
Pron Indef.Neu.Pl.Nom	PINPN
Pron Indef.Neu.Sg.Acc	PINSA
Pron Indef.Neu.Sg.Dat	PINSD
Pron Indef.Neu.Sg.Nom	PINSN
Pron Interr.Fem.Pl.Acc	PQFPA
Pron Interr.Fem.Pl.Dat	PQFPD
Pron Interr.Fem.Pl.Gen	PQFPG
Pron Interr.Fem.Pl.Nom	PQFPN
Pron Interr.Fem.Sg.Acc	PQFSA
Pron Interr.Fem.Sg.Dat	PQFSD
Pron Interr.Fem.Sg.Gen	PQFSG
Pron Interr.Fem.Sg.Nom	PQFSN
Pron Interr.Msc.Pl.Acc	PQMPA
Pron Interr.Msc.Pl.Gen	PQMPG
Pron Interr.Msc.Pl.Nom	PQMPN
Pron Interr.Msc.Sg.Acc	PQMSA
Pron Interr.Msc.Sg.Gen	PQMSG
Pron Interr.Neu.Pl.Acc	PQNPA
Pron Interr.Neu.Pl.Dat	PQNPD
Pron Interr.Neu.Pl.Gen	PQNPG
Pron Interr.Neu.Sg.Acc	PQNSA
Pron Interr.Neu.Sg.Dat	PQNSD
Pron Interr.Neu.Sg.Gen	PQNSG
Pron Interr.Neu.Sg.Nom	PQNSN
Pron Pers.Pl.Acc	PP2PA
Pron Pers.Pl.Dat	PP2PD
Pron Pers.Pl.Gen	PP2PG
Pron Pers.Pl.Nom	PP2PN
Pron Pers.Sg.Acc	PP2SA
Pron Pers.Sg.Dat	PP2SD
Pron Pers.Sg.Gen	PP2SG
Pron Pers.Sg.Nom	PP2SN
Pron Refl.Acc	PPMSA
Pron Refl.Dat	PPMSD
Pron Refl.Gen	PPMSG
Prop N.Fem.Sg.Acc.Indef	SFSA-P
Prop N.Fem.Sg.Dat.Indef	SFSD-P
Prop N.Fem.Sg.Nom.Indef	SFSN-P
Prop N.Msc.Pl.Acc.Indef	SMPA-P
Prop N.Msc.Pl.Dat.Def	SMPDAP
Prop N.Msc.Pl.Nom.Def	SMPNAP
Prop N.Msc.Pl.Nom.Indef	SMPN-P
Prop N.Msc.Sg.Acc.Def	SMSAAP
Prop N.Msc.Sg.Acc.Indef	SMSA-P
Prop N.Msc.Sg.Dat.Def	SMSDAP
Prop N.Msc.Sg.Dat.Indef	SMSD-P
Prop N.Msc.Sg.Gen.Def	SMSGAP
Prop N.Msc.Sg.Gen.Indef	SMSG-P
Prop N.Msc.Sg.Nom.Def	SMSNAP
Prop N.Msc.Sg.Nom.Indef	SMSN-P
Prop N.Neu.Sg.Acc.Def	SNSAAP
Prop N.Neu.Sg.Acc.Indef	SNSA-P
Prop N.Neu.Sg.Dat.Def	SNSDAP
